group_id,group_name,group_type
G0001,Finance-Users,department
G0002,HR-Users,department
G0003,Engineering-Users,department
G0004,Sales-Users,department
G0005,Marketing-Users,department
G0006,IT-Users,department
G0007,Operations-Users,department
G0008,Legal-Users,department
G0009,Facilities-Users,department
G0010,R&D-Users,department
G0011,All-Employees,role
G0012,Privileged-IT,role
G0013,SOX-Users,role
G0014,PCI-Users,role
G0015,SAP-Users,role
G0016,HR-Systems-Users,role
G0017,DevOps,role
G0018,Network-Admins,role
